variable_name;decription;categories;class
zona;household zone;from 1 to 460;factor
muni_dom;household municipality;from 1 to 39;factor
co_dom_x;x-coordinate of household;;numeric
co_dom_y;y-coordinate of household;;numeric
id_dom;household identifier;;factor
f_dom;household first occurrence identifier;"0 – additional household records
1 – first household record";factor
fe_dom;household expansion factor;;numeric
dom;household number;;factor
cd_entre;interview code;"5 - complete without trip
6 – complete with trip";factor
data;interview date;;date
tipo_dom;household type;"1 – private
2 – collective
3 – slum";factor
no_morad;number of residents in the household;;numeric
tot_fam;number of families in the household;;numeric
id_fam;family identifier;;factor
f_fam;family first occurrence identifier;"0 – additional family records
1 – first family record";factor
fe_fam;family expansion factor;;numeric
familia;family number;;factor
no_moraf;number of family members;;numeric
condmora;housing conditions;"1 – rented
2 – owned
3 – loan agreement
4 – others
5 – did not answer";factor
qt_radio;number of radios;;numeric
qt_gel1;number of fridges – 1 door;;numeric
qt_gel2;number of fridges – 2 doors;;numeric
qt_tvcor;number of colour TV;;numeric
qt_freez;number of freezers;;numeric
qt_video;number of VCRs/DVDs;;numeric
qt_banho;number of bathrooms;;numeric
qt_moto;number of motocycles;;numeric
qt_auto;number of cars;;numeric
qt_aspir;number of vacuum cleaners;;numeric
qt_mlava;number of washing machines;;numeric
qt_empre;number of domestic workers;;numeric
qt_micro;number of microcomputers;;numeric
qt_bicicle;number of bicycles;;numeric
nao_dcl_it;comfort items declaration code;"0 - did not declare comfort items
1 - declared comfort items";factor
criteriobr;economic classification criteria Brazil;"1 – A1
2 – A2
3 – B1
4 – B2
4 – B2
5 – C1
6 – C2
7 – D
8 – E";factor
ano_auto1;year of manufacture of car 1;;numeric
ano_auto2;year of manufacture of car 2;;numeric
ano_auto3;year of manufacture of car 3;;numeric
renda_fa;monthly family income;;numeric
cd_renfa;household income code;"1 - complete family income
2 - no income
3 - incomplete family income";factor
id_pess;person identifier;;factor
f_pess;person first occurrence identifier;"0 – additional person records
1 – first person record";factor
fe_pess;person expansion factor;;numeric
pessoa;person number;;factor
sit_fam;family status;"1 - responsible person
2 – spouse/partner
3 – child/stepchildren
4 - other relative
5 - household member
6 - resident employee
7 - employee's relative";factor
idade;age (years);;numeric
sexo;sex;"1 – male
2 – female";factor
estuda;currently studying?;"1 – no
2 – nursery/pre-school
3 - 1st grade / elementary school
4 - 2nd  grade / high school
6 - 3rd grade / higher education
7 – other ";factor
grau_ins;educational level;"1 – not literate / incomplete primary
2 – complete primary / incomplete elementary school
3 – complete elementary school / incomplete high school
4 – complete high school / incomplete higher education
5 – complete higer education
";factor
cd_ativi;activity condition;"1 – working
2 – occasionally working
3 – on leave
4 – retired/pensioner
5 – not working
6 – never worked
7 – housewife
8 – student ";factor
co_ren_i;individual income code;"1 – has income
2 – no income
3 – did not answer";factor
vl_ren_i;individual monthly income;;numeric
zonaesc;school zone;from 1 to 460;factor
muniesc;school municipality;from 1 to 39;factor
co_esc_x;x-coordinate of school;;numeric
co_esc_y;y-coordinate of school;;numeric
tipo_esc;school type;"1 – public
2 – private";fator
zonatra1;first job zone;from 1 to 460;factor
munitra1;first job municipality;from 1 to 39;factor
co_tr1_x;x-coordinate of first job;;numeric
co_tr1_y;y-coordinate of first job;;numeric
trab1_re;Is the first job the same as the residence?;"1 – yes
2 – no
3 – without a fixed address";fator
trabext1;performs field work - first job;"1 – yes
2 – no";fator
ocup1;first job occupation;;factor
setor1;first job sector of activity;"01 – agriculture
02 – construction 
03 – industry
04 – commerce
05 – freight transportation services
06 – passenger transportation services
07 – credit/financial services
08 – personal services
09 – food services
10 – healthcare services
11 – education services
12 – specialized services
13 – public administration services
14 – others";factor
vinc1;first job employment relationship;"1 - salaried employee with formal contract
2 - salaried employee without formal contract
3 - public employees
4 - self-employed
5 - employer
6 - freelancer
7 - family business owner
8 - family worker";factor
zonatra2;second job zone;from 1 to 460;factor
munitra2;second job municipality;from 1 to 39;factor
co_tr2_x;x-coordinate of second job;;numeric
co_tr2_y;y-coordinate of second job;;numeric
trab2_re;Is the second job the same as the residence?;"1 – yes
2 – no
3 – without a fixed address";fator
trabext2;performs field work -second job;"1 – yes
2 – no";fator
ocup2;second job occupation;same as ocup1;factor
