variable_name;decription;categories;class
zona;household zone;from 1 to 389;factor
sz;household subzone;from 1 to 9;factor
szseq;sequential number of the household subzone;from 1 to 1400;factor
muni_dom;household municipality;from 1 to 39;factor
distrdom;household district (São Paulo);from 1 to 96;factor
dtrmun;household district + municipality;from 1 to 134;factor
id_dom;household identifier;;factor
f_dom;household first occurrence identifier;"0 – additional household records
1 – first household record";factor
fe_dom;household expansion factor;;numeric
domicil;household number;;factor
tipo_dom;household type;"1 – private
2 – collective
3 – slum";factor
tot_fam;number of families in the household;;numeric
no_morad;number of residents in the household;;numeric
resuldom;household result;"6 - complete without trip
7 – complete with trip";factor
id_fam;family identifier;;factor
f_fam;family first occurrence identifier;"0 – additional family records
1 – first family record";factor
fe_fam;family expansion factor;;numeric
familia;family number;;factor
resulfam;family result;"6 - complete without trip
7 – complete with trip";factor
no_moraf;number of family members;;numeric
tp_rmun;time lived in the municipality;;numeric
tp_rbair;time lived in the neighbourhood;;numeric
condmora;housing conditions;"1 – rented
2 – owned
3 – loan agreement
4 – others
5 – did not answer";factor
qt_radio;number of radios;;numeric
qt_gel;number of fridges;;numeric
qt_tv;number of colour TV;;numeric
qt_video;number of VCRs;;numeric
qt_banho;number of bathrooms;;numeric
qt_auto;number of cars;;numeric
qt_aspir;number of vacuum cleaners;;numeric
qt_mlava;number of washing machines;;numeric
qt_empre;number of domestic workers;;numeric
qt_micro;number of microcomputers;;numeric
qt_tel;number of telephones;;numeric
qt_cel;number of mobile phones;;numeric
dia_sema;weekday;"2 – Monday
3 – Tueusday
4 – Wednesday
5 – Thursday
6 – Friday";factor
renda_fa;monthly family income;;numeric
cd_renfa;household income code;"1 - complete family income
2 - no Income
3 - incomplete family income";factor
rendatri;attributed family income;;numeric
abipeme;ABIPEME socio-economic classification;"1 – A
2 – B
3 – C
4 – D
5 – E ";factor
id_pess;person identifier;;factor
f_pess;person first occurrence identifier;"0 – additional person records
1 – first person record";factor
fe_pess;person expansion factor;;numeric
pessoa;person number;;factor
sit_fam;family status;"1 – head of household
2 – spouse
3 – child 
4 – relative / household member
5 – resident employee
6 – visitor non-resident at São Paulo metropolitan region";factor
idade;age (years);;numeric
sexo;sex;"1 – male
2 – female";factor
se_estud;currently studying?;"1 – no
2 – nursery/pre-school
3 - 1st/2nd/3rd grades
4 – other ";factor
