nome_da_variavel;descricao;categorias;classe
zona;zona do domicílio;1 a 389;fator
sz;subzona do domicílio;1 a 9 ;fator
szseq;subzona sequencial do domicílio;1 a 1400 ;fator
muni_dom;município do domicílio;1 a 39 ;fator
distrdom;distrito do domicílio (São Paulo);1 a 96 ;fator
dtrmun;distrito + município do domicílio;1 a 134;fator
id_dom;identifica domicílio;;fator
f_dom;identifica primeiro registro do domicílio;"0 – Demais registros
1 – Primeiro registro do domicílio";fator
fe_dom;fator de expansão do domicílio;;numérica
domicil;número do domicílio;;fator
tipo_dom;tipo de domicílio;"1 – particular
2 – coletivo
3 – favela";fator
tot_fam;número de famílias no domicílio;;numérica
no_morad;número de moradores do domicílio;;numérica
resuldom;resultado do domicílio;"6 - Completa sem viagem
7 - Completa com viagem";fator
id_fam;identifica família;;fator
f_fam;identifica primeiro registro da família;"0 – Demais  registros
1 – Primeiro registro da família";fator
fe_fam;fator de expansão da família;;numérica
familia;número da família;;fator
resulfam;resultado da família;"6 - Completa sem viagem
7 - Completa com viagem";fator
no_moraf;número de moradores da família;;numérica
tp_rmun;tempo de residência no município;;numérica
tp_rbair;tempo de residência no bairro;;numérica
condmora;condição de moradia;"1 - Alugada
2 - Própria
3 - Cedida
4 - Outros
5 - Não respondeu";fator
qt_radio;quantidade de rádios;;numérica
qt_gel;quantidade de geladeiras;;numérica
qt_tv;quantidade de TV a cores;;numérica
qt_video;quantidade de video cassetes;;numérica
qt_banho;quantidade de banheiros;;numérica
qt_auto;quantidade de automóveis;;numérica
qt_aspir;quantidade de aspiradores de pó;;numérica
qt_mlava;quantidade de máquinas de lavar;;numérica
qt_empre;quantidade de empregados domésticos;;numérica
qt_micro;quantidade de microcomputadores;;numérica
qt_tel;quantidade de telefones;;numérica
qt_cel;quantidade de celulares;;numérica
dia_sema;dia da semana;"2 – Segunda-feira
3 – Terça-feira
4 – Quarta-feira
5 – Quinta-feira
6 – Sexta-feira ";fator
renda_fa;renda familiar;;numérica
cd_renfa;código de renda familiar;"1 - Renda Familiar Completa 
2 - Não Tem Renda
3 - Renda Familiar Incompleta";fator
rendatri;renda familiar atribuída ;;numérica
abipeme;classificação socioeconômica ABIPEME;"1 – A
2 – B
3 – C
4 – D
5 – E";fator
id_pess;identifica pessoa;;
f_pess;identifica primeiro registro da pessoa;"0 - Demais registros
1- Primeiro registro da pessoa";fator
fe_pess;fator de expansão da pessoa;;numérica
pessoa;número da pessoa;;fator
sit_fam;situação familiar;"1 - Chefe
2 - Cônjuge
3 - Filho(a)
4 - Parente/Agregado
5 - Empregado Residente
6 - Visitante não residente na RMSP";fator
idade;idade (anos);;numérica
sexo;sexo;"1 - Masculino
2 – Feminino";fator
se_estud;estuda atualmente? ;"1 – Não
2 – Creche/pré-escola
3 – 1o/2o/3o graus
4 – Outros ";fator
grau_ins;grau de instrução;"1 – não alfabetizado
2 – pré-escola
3 – 1° grau incompleto
4 – 1° grau completo
5 – 2° grau incompleto
6 – 2° grau completo 
7 – superior incompleto
8 – superior completo ";fator
cd_ativi;condição de atividade ;"1 – ocupado
2 - ocupado eventualmente
3 - em licença
4 - não ocupado
5 – aposentado/pensionista
6 - nunca trabalhou
7 - dona de casa
8 - estudante";fator
ocup_pri;ocupação principal;"01 – assalariado com carteira
02 – assalariado sem carteira
03 – funcionário público
04 – autônomo
05 – empregador
06 – profissional liberal
07 – trab. doméstico com carteira
08 – trab. doméstico sem carteira
09 – dono de negócio familiar
10 – trabalhador familiar
11 – não se aplica";fator
set_ativ;setor de atividade;"01 – agrícola
02 – construção civil
03 – indústria
04 – comércio
05 – serviços de transp. Carga
06 – serviços de transp. de passag.
07 – serviços creditícios/financeiros
08 – serviços pessoais
09 – serviços de alimentação
10 – serviços de saúde
11 – serviços de educação
12 – serviços especializados
13 – serviços da adm. Pública
14 – outros
15 – não se aplica";fator
co_ren_i;código de renda individual;"1 – tem renda
2 – não tem renda
3 – não respondeu";fator
vl_ren_i;renda individual;;numérica
usa_vtra;usa vale-transporte? ;"1 – sim
2 – não";numérica
zonaesc;zona da escola;1 a 389;fator
szescola;subzona da escola;1 a 9 ;fator
szeseq;subzona sequencial da escola;1 a 1400 ;fator
distresc;distrito da escola (São Paulo);1 a 96 ;fator
muniesc;município da escola;1 a 39 ;fator
dtrmuesc;distrito + município da escola;1 a 134;fator
zonatra1;zona do primeiro trabalho;1 a 389;fator
sztrab1;subzona do primeiro trabalho;1 a 9 ;fator
szt1seq;subzona sequencial do primeiro trabalho;1 a 1400 ;fator
distrab1;distrito do primeiro trabalho;1 a 96 ;fator
munitra1;município do primeiro trabalho;1 a 39 ;fator
dtrmutr1;distrito + município do primeiro trabalho;1 a 134;fator
trab1_sn;primeiro trabalho é igual à residência? ;"1 – sim
2 – não";fator
zonatra2;zona do segundo trabalho;1 a 389;fator
sztrab2;subzona do segundo trabalho;1 a 9 ;fator
szt2seq;subzona sequencial do segundo trabalho;1 a 1400 ;fator
distrab2;distrito do segundo trabalho;1 a 96 ;fator
